Time (s)	Fret_1	Idl_1	Donor_1	Acceptor_1
1.070000e+01	7.483198e-01	0	1.239436e+02	3.685212e+02	
1.075000e+01	7.376319e-01	0	1.449777e+02	4.075960e+02	
1.080000e+01	7.992507e-01	0	1.021384e+02	4.066475e+02	
1.085000e+01	7.687325e-01	0	1.208500e+02	4.017051e+02	
1.090000e+01	7.890901e-01	0	1.049956e+02	3.928264e+02	
1.095000e+01	7.919831e-01	0	9.782776e+01	3.724598e+02	
11	7.764893e-01	0	1.154534e+02	4.010917e+02	
1.105000e+01	5.240818e-01	0	2.443405e+02	2.690681e+02	
1.110000e+01	4.199475e-01	0	2.935455e+02	2.125216e+02	
1.115000e+01	4.558126e-01	0	2.635450e+02	2.207459e+02	
1.120000e+01	4.771447e-01	0	2.678813e+02	2.444617e+02	
1.125000e+01	4.555243e-01	0	2.848044e+02	2.382757e+02	
1.130000e+01	7.774022e-01	0	1.129135e+02	3.943401e+02	
1.135000e+01	8.114900e-01	0	1.011350e+02	4.353618e+02	
1.140000e+01	7.803693e-01	0	1.086633e+02	3.860912e+02	
1.145000e+01	8.057359e-01	0	1.029445e+02	4.269758e+02	
1.150000e+01	8.142546e-01	0	8.924929e+01	3.912434e+02	
1.155000e+01	7.797772e-01	0	1.056983e+02	3.742624e+02	
1.160000e+01	8.604901e-01	0	6.589920e+01	4.064629e+02	
1.165000e+01	8.279083e-01	0	9.024889e+01	4.341742e+02	
1.170000e+01	8.164553e-01	0	9.552153e+01	4.249050e+02	
1.175000e+01	7.724621e-01	0	1.256606e+02	4.266017e+02	
1.180000e+01	7.932870e-01	0	9.794170e+01	3.758636e+02	
1.185000e+01	7.884398e-01	0	1.085513e+02	4.045475e+02	
1.190000e+01	7.905992e-01	0	9.773400e+01	3.689977e+02	
1.195000e+01	8.014886e-01	0	1.025160e+02	4.139080e+02	
12	8.320676e-01	0	8.412364e+01	4.168140e+02	
1.205000e+01	7.896595e-01	0	1.134131e+02	4.257749e+02	
1.210000e+01	7.984150e-01	0	9.635427e+01	3.816291e+02	
1.215000e+01	6.246791e-01	0	1.683364e+02	2.801769e+02	
1.220000e+01	8.180219e-01	0	8.938595e+01	4.018047e+02	
1.225000e+01	8.218440e-01	0	9.195953e+01	4.242148e+02	
1.230000e+01	7.815909e-01	0	1.040424e+02	3.723225e+02	
1.235000e+01	8.212020e-01	0	8.631023e+01	3.964146e+02	
1.240000e+01	7.862554e-01	0	1.019569e+02	3.750465e+02	
1.245000e+01	8.349469e-01	0	7.640974e+01	3.865305e+02	
1.250000e+01	8.135180e-01	0	9.242602e+01	4.032037e+02	
1.255000e+01	7.874144e-01	0	1.074622e+02	3.980385e+02	
1.260000e+01	7.994400e-01	0	9.591301e+01	3.823130e+02	
1.265000e+01	8.107365e-01	0	9.192940e+01	3.937924e+02	
1.270000e+01	8.000339e-01	0	1.014125e+02	4.057357e+02	
