Time (s)	Fret_1	Idl_1	Donor_1	Acceptor_1
1.125000e+01	0	0	3.072481e+01	6.595111e+00	
1.130000e+01	0	0	-2.946465e+01	1.662973e+01	
1.135000e+01	0	0	-1.478931e+00	-7.316678e+00	
1.140000e+01	0	0	-4.035553e+00	-1.198534e+01	
1.145000e+01	0	0	1.361433e+01	-1.179141e+00	
1.150000e+01	0	0	1.836808e+00	1.597724e+00	
1.155000e+01	0	0	-4.040500e+00	1.601990e+01	
1.160000e+01	0	0	-1.671831e+01	-2.736480e+01	
1.165000e+01	0	0	-1.093596e+01	-4.651710e+00	
1.170000e+01	0	0	-8.339583e+00	-1.954500e+01	
1.175000e+01	0	0	1.286942e+01	4.469879e+00	
1.180000e+01	0	0	1.290286e+01	-1.432617e+01	
1.185000e+01	0	0	-1.299107e+01	-3.164439e+00	
1.190000e+01	0	0	6.357525e+00	9.514660e+00	
1.195000e+01	0	0	1.037627e+01	8.129178e+00	
12	0	0	1.297685e+00	1.866922e+01	
1.205000e+01	0	0	6.639125e+00	-1.440929e+00	
1.210000e+01	0	0	-2.558370e+00	4.520871e+00	
1.215000e+01	0	0	-1.296015e+01	-1.555054e+01	
1.220000e+01	0	0	-1.451055e+01	7.248379e+00	
1.225000e+01	0	0	2.571877e+01	-1.009233e+01	
1.230000e+01	0	0	8.284310e+00	1.325234e+01	
1.235000e+01	0	0	6.509704e-02	5.936640e+00	
1.240000e+01	0	0	-7.041297e+00	2.436224e+01	
1.245000e+01	0	0	3.939393e+00	-1.072590e+00	
1.250000e+01	0	0	-2.425396e+01	1.495143e+01	
1.255000e+01	0	0	4.047977e+00	1.155273e+01	
1.260000e+01	0	0	1.693218e+01	-1.399710e+01	
1.265000e+01	0	0	7.373544e+00	-1.310285e+01	
1.270000e+01	0	0	1.205464e+01	-1.179120e+01	
1.275000e+01	0	0	-1.541928e+01	1.370753e+01	
1.280000e+01	0	0	4.328407e+00	-7.587400e-01	
1.285000e+01	0	0	5.116673e+00	5.584810e+00	
1.290000e+01	0	0	-1.111321e-01	1.859879e+01	
1.295000e+01	0	0	-6.640537e+00	-3.531892e+00	
13	0	0	4.141247e+00	5.426623e-01	
1.305000e+01	0	0	1.760892e+01	5.073487e+00	
1.310000e+01	0	0	8.149531e+00	4.789088e+00	
1.315000e+01	0	0	9.713855e+00	-1.188606e+01	
1.320000e+01	0	0	-1.558664e+01	6.045317e+00	
1.325000e+01	0	0	-2.125411e+00	-2.182366e+01	
1.330000e+01	0	0	-1.091568e+01	-2.139473e+00	
1.335000e+01	0	0	1.013068e+01	8.798013e-01	
1.340000e+01	0	0	-2.072147e-01	-2.086906e+01	
1.345000e+01	0	0	-1.768703e-01	-1.641595e+00	
1.350000e+01	0	0	1.632841e+00	-8.640882e+00	
